algorithm,k,tau,f,g,time(s)
Greedy,1,N/A,0.0013894160583941605,0.0005613190730837788,1.5665960000042105
Saturate,1,N/A,0.0013793795620437943,0.0005632798573975045,29.71030239999527
SMSC,1,0.8,0.0013937956204379558,0.0005782531194295898,13.175103400004446
BSM-TSGreedy,1,0.8,0.0013865875912408762,0.0005531194295900178,3.646093999996083
BSM-Saturate,1,0.8,0.0013910583941605837,0.0005757575757575757,8.528906600011396
Greedy,5,N/A,0.006123175182481755,0.00523558052434457,0.6122485000087181
Saturate,5,N/A,0.006066332116788322,0.005149812734082397,11.244403699995019
SMSC,5,0.8,0.0060570255474452555,0.0034422459893048113,5.69832999999926
BSM-TSGreedy,5,0.8,0.005953558394160587,0.0050466292134831465,2.5244699999893783
BSM-Saturate,5,0.8,0.006132025547445254,0.005238764044943823,8.782098700015922
Greedy,10,N/A,0.011729105839416058,0.0046734082397003746,0.46072889999777544
Saturate,10,N/A,0.011448540145985403,0.01115579322638146,8.033902499999385
SMSC,10,0.8,0.011249270072992696,0.005882709447415334,4.579553199990187
BSM-TSGreedy,10,0.8,0.01140456204379561,0.00967059925093633,1.5798355000006268
BSM-Saturate,10,0.8,0.011620985401459855,0.011494295900178255,7.996154699998442
Greedy,15,N/A,0.016951824817518214,0.011194194756554312,0.3713471999944886
Saturate,15,N/A,0.01643147810218977,0.01618483146067416,5.863697500011767
SMSC,15,0.8,0.01652956204379561,0.008396434937611413,3.8748403000063263
BSM-TSGreedy,15,0.8,0.016901916058394154,0.014638951310861417,1.3649849999928847
BSM-Saturate,15,0.8,0.016831843065693415,0.014675468164794009,7.2407122000004165
Greedy,20,N/A,0.022052737226277347,0.019234269662921345,0.3236837000004016
Saturate,20,N/A,0.021949178832116778,0.020849625468164792,6.069412900003954
SMSC,20,0.8,0.02189625912408758,0.011104634581105168,3.354127400001744
BSM-TSGreedy,20,0.8,0.021970346715328444,0.020876591760299636,1.2488970000122208
BSM-Saturate,20,0.8,0.022077189781021894,0.021507486631016037,6.242289300003904
Greedy,25,N/A,0.0270869525547445,0.027051336898395752,0.3253636000008555
Saturate,25,N/A,0.027017244525547438,0.027038764044943823,5.226390800002264
SMSC,25,0.8,0.02680228102189779,0.013281461675579328,3.223121299990453
BSM-TSGreedy,25,0.8,0.026973631386861294,0.026823408239700367,1.4389346000243677
BSM-Saturate,25,0.8,0.027141879562043773,0.02705811051693405,7.671704899999895
Greedy,30,N/A,0.03201423357664233,0.03089625668449197,0.30821850000938866
Saturate,30,N/A,0.031837864963503604,0.03114494382022472,4.514581099996576
SMSC,30,0.8,0.031677281021897805,0.015516221033868101,3.503510800001095
BSM-TSGreedy,30,0.8,0.03192764598540145,0.030904456327985712,1.5475356000097236
BSM-Saturate,30,0.8,0.03205027372262772,0.03101354723707664,14.120344599985401
Greedy,35,N/A,0.036662682481751835,0.03320861423220974,0.7265382000041427
Saturate,35,N/A,0.036839963503649625,0.036559893048128324,10.89167460000317
SMSC,35,0.8,0.03624306569343069,0.017179500891265596,2.97485479999159
BSM-TSGreedy,35,0.8,0.03675958029197082,0.03337715355805244,1.0922498000145424
BSM-Saturate,35,0.8,0.036754470802919714,0.035176217228464396,10.016435300000012
Greedy,40,N/A,0.041416970802919645,0.039129775280898886,0.7198501000093529
Saturate,40,N/A,0.04137901459854012,0.04096404494382021,10.10109550000925
SMSC,40,0.8,0.041060492700729895,0.019488235294117646,7.3788698999996996
BSM-TSGreedy,40,0.8,0.04126104014598539,0.0367262172284644,2.5108818000153406
BSM-Saturate,40,0.8,0.04138786496350364,0.03894850187265917,12.096027399995364
Greedy,45,N/A,0.046240145985401514,0.041317977528089855,0.27813760000572074
Saturate,45,N/A,0.0454079379562044,0.045218164794007476,3.903781999993953
SMSC,45,0.8,0.0457383211678832,0.021243672014260234,2.8507466000010027
BSM-TSGreedy,45,0.8,0.04619616788321176,0.04290037453183519,1.0972141999955056
BSM-Saturate,45,0.8,0.046351916058394206,0.045131273408239685,5.857112599987886
Greedy,50,N/A,0.05098695255474461,0.043355617977528065,0.2606979999982286
Saturate,50,N/A,0.05099808394160589,0.05089831460674156,4.55706459999783
SMSC,50,0.8,0.05052463503649637,0.02344581105169341,3.026945899997372
BSM-TSGreedy,50,0.8,0.05110483576642338,0.04710861423220971,1.0970994999952381
BSM-Saturate,50,0.8,0.051103284671532904,0.050807490636704096,6.625362000006135
