algorithm,k,tau,f,g,time(s)
Greedy,5,N/A,0.388,0.125,0.0054788999987067655
Saturate,5,N/A,0.308,0.26666666666666666,0.107627199991839
BSM-TSGreedy,5,0.1,0.38,0.125,0.009685009995882865
BSM-TSGreedy,5,0.2,0.342,0.125,0.018225429995800367
BSM-TSGreedy,5,0.30000000000000004,0.346,0.125,0.01960569999355357
BSM-TSGreedy,5,0.4,0.304,0.125,0.021257760001753924
BSM-TSGreedy,5,0.5,0.336,0.175,0.01879334000113886
BSM-TSGreedy,5,0.6,0.316,0.2,0.017632710002362727
BSM-TSGreedy,5,0.7000000000000001,0.342,0.225,0.01194130000367295
BSM-TSGreedy,5,0.8,0.324,0.25,0.016994309998699463
BSM-TSGreedy,5,0.9,0.294,0.2833333333333333,0.02277169000444701
BSM-Saturate,5,0.1,0.39,0.15,0.09433221999934176
BSM-Saturate,5,0.2,0.39,0.15,0.13025667999900178
BSM-Saturate,5,0.30000000000000004,0.39,0.15,0.11155918000004021
BSM-Saturate,5,0.4,0.378,0.175,0.09643452000018442
BSM-Saturate,5,0.5,0.36,0.18333333333333332,0.09393014999950537
BSM-Saturate,5,0.6,0.358,0.24,0.07041057000024012
BSM-Saturate,5,0.7000000000000001,0.356,0.225,0.07109134000202175
BSM-Saturate,5,0.8,0.37,0.225,0.058109289999993055
BSM-Saturate,5,0.9,0.34,0.2833333333333333,0.05504420999932336
